Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Stephen Curry,Alex Len,Justin Hamilton,Monta Ellis,Thaddeus Young,James Harden,Michael Kidd-Gilchrist,Marcus Morris,287.218,222.0,50,Oct282016,3,8
Stephen Curry,Elfrid Payton,Justin Hamilton,J.R. Smith,Draymond Green,LeBron James,Michael Kidd-Gilchrist,Justise Winslow,288.998,221.75,34,Oct282016,3,8
Jeff Teague,Nikola Vucevic,Deron Williams,Tim Frazier,Bojan Bogdanovic,Draymond Green,LeBron James,Justise Winslow,292.448,220.25,13,Oct282016,3,8
Russell Westbrook,Stephen Curry,Jeff Teague,Enes Kanter,Justin Hamilton,Monta Ellis,Jared Dudley,Bojan Bogdanovic,285.888,214.75,26,Oct282016,4,8
Jeff Teague,Alex Len,Roy Hibbert,Tim Frazier,Monta Ellis,Bojan Bogdanovic,James Harden,Kevin Durant,296.208,214.75,4,Oct282016,3,8
Stephen Curry,Jeff Teague,Enes Kanter,Justin Hamilton,Ish Smith,Thaddeus Young,Joe Johnson,LeBron James,285.648,212.75,39,Oct282016,4,8
Enes Kanter,Elfrid Payton,Tim Frazier,Monta Ellis,James Harden,Clint Capela,Michael Kidd-Gilchrist,Justise Winslow,284.268,212.5,35,Oct282016,6,8
Jeff Teague,Enes Kanter,Tyson Chandler,Monta Ellis,J.R. Smith,Joe Johnson,Kevin Durant,LeBron James,285.708,211.0,34,Oct282016,4,8
Jeff Teague,Enes Kanter,Deron Williams,George Hill,Monta Ellis,Marvin Williams,Kevin Love,LeBron James,284.778,210.75,30,Oct282016,5,8
Enes Kanter,Roy Hibbert,Monta Ellis,Thaddeus Young,Marvin Williams,James Harden,J.J. Barea,LeBron James,285.998,210.0,23,Oct282016,4,8
Nikola Vucevic,Alex Len,Deron Williams,Monta Ellis,Luke Babbitt,James Harden,Tyler Johnson,LeBron James,286.108,197.0,19,Oct282016,4,8
Stephen Curry,Jeff Teague,Roy Hibbert,Monta Ellis,Wesley Matthews,Tyler Johnson,Myles Turner,LeBron James,289.088,193.5,32,Oct282016,3,8
Jeff Teague,Roy Hibbert,Deron Williams,Joe Harris,Joe Johnson,James Harden,LeBron James,Michael Kidd-Gilchrist,293.958,185.25,9,Oct282016,3,8
