Id,Name,Position,Team,Salary,Projected,Scored,Override,last_5,last_3,last_1,std,bucket5,bucket10,bucket15,bucket20,bucket25,bucket30,bucket35,bucket40,Home
164145,Trey Lyles,PF,UTA,3400,16.41,2.5,0,14.75,9.5,14.75,7.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164146,Jared Dudley,PF,PHO,3200,0.0,2.0,0,16.25,16.25,16.25,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164147,Marquese Chriss,PF,PHO,3100,12.37,8.75,0,15.0,15.5,13.5,6.79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164148,Mirza Teletovic,PF,MIL,3000,10.71,15.5,0,14.5,10.75,6.5,8.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164149,Domantas Sabonis,PF,OKC,3000,14.24,5.5,0,12.5,10.5,4.0,6.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164150,Thon Maker,PF,MIL,3000,1.83,0.0,0,0.0,0.0,1.25,3.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164151,David West,PF,GS,3000,14.08,9.0,0,7.75,4.5,7.75,6.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164152,Darrell Arthur,PF,DEN,3000,0.0,0.0,0,0.0,0.0,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164153,James Michael McAdoo,PF,GS,3000,0.0,0.0,0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164154,Kevon Looney,PF,GS,3000,0.38,0.0,0,2.0,1.5,1.5,6.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164155,Juancho Hernangomez,PF,DEN,3000,1.91,0.0,0,0.0,0.0,0.0,7.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164156,Joel Bolomboy,PF,UTA,3000,0.0,0.0,0,0.0,0.0,9.75,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164157,Chris McCullough,PF,BKN,3000,0.0,0.0,0,0.75,0.0,3.75,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164158,Bobby Portis,PF,CHI,3000,9.18,0.0,0,7.0,6.0,8.0,6.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164159,Christian Wood,PF,CHA,3000,0.0,0.0,0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164160,Kyle Wiltjer,PF,HOU,3000,0.96,0.0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164161,Cheick Diallo,PF,NO,3000,2.89,0.0,0,0.0,0.0,3.25,7.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164162,Arinze Onuaku,PF,ORL,3000,2.23,2.25,0,0.0,0.0,0.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164163,Maurice Ndour,PF,NY,3000,5.47,2.0,0,0.0,0.0,0.0,3.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164164,Stephen Zimmerman Jr.,PF,ORL,3000,0.0,0.0,0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164165,Brandon Bass,PF,LAC,3000,13.71,10.25,0,0.0,0.0,0.0,6.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164166,Brice Johnson,PF,LAC,3000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164167,Klay Thompson,SG,GS,6600,35.33,36.75,0,29.0,25.5,25.5,10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
164168,Bradley Beal,SG,WAS,6500,32.14,38.75,0,25.75,17.5,25.75,14.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164169,Dwyane Wade,SG,CHI,6300,0.0,0.0,0,33.25,27.75,27.75,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164170,Devin Booker,SG,PHO,6300,27.16,20.25,0,23.0,11.5,0.0,10.84,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
164171,Eric Gordon,SG,HOU,5700,27.15,41.5,0,22.5,27.75,20.75,7.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
164172,Sean Kilpatrick,SG,BKN,5500,23.99,14.0,0,20.5,22.0,17.0,11.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
164173,Victor Oladipo,SG,OKC,5400,31.63,33.25,0,29.25,29.25,29.25,16.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164174,J.J. Redick,SG,LAC,5200,16.05,27.5,0,13.5,13.5,19.75,9.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
164175,Rodney Hood,SG,UTA,4900,21.09,20.75,0,27.5,26.5,8.25,12.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164176,Gary Harris,SG,DEN,4700,23.3,24.5,0,0.0,0.0,0.0,12.61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164177,Jamal Crawford,SG,LAC,4700,17.91,34.75,0,16.75,24.5,24.5,8.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
