Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk,Date
Jeff Teague,Myles Turner,Langston Galloway,Kevin Durant,Taj Gibson,Tony Snell,Damian Lillard,Eric Bledsoe,IND,IND,NO,GS,CHI,MIL,POR,PHO,PG,C,PG,SF,PF,SG,PG,PG,273.168,277.5,47,Dec152016,0,79.75,2016-12-15
Jeff Teague,Pau Gasol,Brandon Jennings,Jabari Parker,Taj Gibson,Jimmy Butler,Devin Booker,Stephen Curry,IND,SA,NY,MIL,CHI,CHI,PHO,GS,PG,C,PG,SF,PF,SG,SG,PG,272.588,275.25,53,Dec152016,0,78.03,2016-12-15
Anthony Davis,Matthew Dellavedova,Mason Plumlee,Tyson Chandler,Jameer Nelson,Glenn Robinson III,Damian Lillard,Dwyane Wade,NO,MIL,POR,PHO,DEN,IND,POR,CHI,PF,PG,C,C,PG,SG,PG,SG,270.388,274.0,75,Dec152016,0,98.65,2016-12-15
Jrue Holiday,Myles Turner,Taj Gibson,Glenn Robinson III,Kawhi Leonard,Stephen Curry,Eric Bledsoe,Gary Harris,NO,IND,CHI,IND,SA,GS,PHO,DEN,PG,C,PF,SG,SF,PG,PG,SG,270.578,271.75,74,Dec152016,0,84.94,2016-12-15
E'Twaun Moore,Pau Gasol,Paul George,Taj Gibson,Devin Booker,Kawhi Leonard,Damian Lillard,Klay Thompson,NO,SA,IND,CHI,PHO,SA,POR,GS,SG,C,SF,PF,SG,SF,PG,SG,273.218,271.75,45,Dec152016,0,89.43,2016-12-15
Jrue Holiday,Myles Turner,John Henson,Langston Galloway,Kevin Durant,Evan Turner,Kawhi Leonard,Dwyane Wade,NO,IND,MIL,NO,GS,POR,SA,CHI,PG,C,C,PG,SF,SG,SF,SG,272.658,271.5,52,Dec152016,0,88.06,2016-12-15
Anthony Davis,Jeff Teague,Tyson Chandler,Greg Monroe,Brandon Jennings,Tony Parker,Maurice Harkless,Damian Lillard,NO,IND,PHO,MIL,NY,SA,POR,POR,PF,PG,C,C,PG,PG,SF,PG,269.578,270.5,91,Dec152016,0,97.99,2016-12-15
Nikola Jokic,Tyson Chandler,Tony Parker,Devin Booker,Glenn Robinson III,Giannis Antetokounmpo,Damian Lillard,Klay Thompson,DEN,PHO,SA,PHO,IND,MIL,POR,GS,C,C,PG,SG,SG,PG,PG,SG,269.768,266.75,87,Dec152016,0,94.02,2016-12-15
Anthony Davis,Mason Plumlee,John Henson,Tony Parker,Kevin Durant,Taj Gibson,P.J. Tucker,Klay Thompson,NO,POR,MIL,SA,GS,CHI,PHO,GS,PF,C,C,PG,SF,PF,SF,SG,269.338,266.5,95,Dec152016,0,90.6,2016-12-15
Jeff Teague,Nikola Jokic,Langston Galloway,Kevin Durant,Jabari Parker,Devin Booker,Glenn Robinson III,Kawhi Leonard,IND,DEN,NO,GS,MIL,PHO,IND,SA,PG,C,PG,SF,SF,SG,SG,SF,270.088,266.0,81,Dec152016,0,83.08,2016-12-15
Anthony Davis,Draymond Green,Jrue Holiday,John Henson,Tony Parker,Lance Thomas,Glenn Robinson III,Damian Lillard,NO,GS,NO,MIL,SA,NY,IND,POR,PF,PF,PG,C,PG,SF,SG,PG,274.178,265.25,35,Dec152016,0,100.28,2016-12-15
Anthony Davis,Jeff Teague,Robin Lopez,Tony Parker,Langston Galloway,Danilo Gallinari,Eric Bledsoe,Klay Thompson,NO,IND,CHI,SA,NO,DEN,PHO,GS,PF,PG,C,PG,PG,SF,PG,SG,269.738,264.25,89,Dec152016,0,93.88,2016-12-15
Jrue Holiday,Nikola Jokic,John Henson,Brandon Jennings,Devin Booker,Kawhi Leonard,Eric Bledsoe,Klay Thompson,NO,DEN,MIL,NY,PHO,SA,PHO,GS,PG,C,C,PG,SG,SF,PG,SG,275.568,263.5,26,Dec152016,0,91.49,2016-12-15
Jrue Holiday,Mason Plumlee,Kyle O'Quinn,Jimmy Butler,Jonathon Simmons,Damian Lillard,Eric Bledsoe,Gary Harris,NO,POR,NY,CHI,SA,POR,PHO,DEN,PG,C,PF,SG,SG,PG,PG,SG,271.098,263.25,65,Dec152016,0,90.96,2016-12-15
Anthony Davis,Pau Gasol,Langston Galloway,Jabari Parker,Lance Thomas,P.J. Tucker,Damian Lillard,Dwyane Wade,NO,SA,NO,MIL,NY,PHO,POR,CHI,PF,C,PG,SF,SF,SF,PG,SG,276.928,262.75,17,Dec152016,0,96.37,2016-12-15
