Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Jrue Holiday,Justin Holiday,Mason Plumlee,Jabari Parker,Devin Booker,Giannis Antetokounmpo,Damian Lillard,Gary Harris,NO,NY,POR,MIL,PHO,MIL,POR,DEN,PG,PG/SG,C,SF/PF,SG/SF,PG,PG,SG,6700,3000,5600,6300,5200,9500,8800,4000,258.89,355.5,22,Dec152016
Anthony Davis,Jrue Holiday,Justin Holiday,Kenneth Faried,Jabari Parker,Danilo Gallinari,Damian Lillard,Gary Harris,NO,NO,NY,DEN,MIL,DEN,POR,DEN,PF/C,PG,PG/SG,C,SF/PF,SF,PG,SG,11500,6700,3000,4000,6300,5300,8800,4000,252.21,355.5,23,Dec152016
Anthony Davis,Justin Holiday,Myles Turner,Jabari Parker,Danilo Gallinari,Giannis Antetokounmpo,Terrence Jones,Gary Harris,NO,NY,IND,MIL,DEN,MIL,NO,DEN,PF/C,PG/SG,C,SF/PF,SF,PG,PF,SG,11500,3000,6000,6300,5300,9500,4300,4000,246.24,355.5,24,Dec152016
Anthony Davis,Buddy Hield,Justin Holiday,Guillermo Hernangomez,Danilo Gallinari,Giannis Antetokounmpo,Damian Lillard,Gary Harris,NO,NO,NY,NY,DEN,MIL,POR,DEN,PF/C,SG,PG/SG,C,SF,PG,PG,SG,11500,3200,3000,3000,5300,9500,8800,4000,235.54,355.25,25,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Mason Plumlee,Pau Gasol,Danilo Gallinari,Damian Lillard,Gary Harris,NO,IND,NY,POR,SA,DEN,POR,DEN,PF/C,PG,PG/SG,C,C,SF,PG,SG,11500,6400,3000,5600,5200,5300,8800,4000,265.91,354.75,26,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,Dewayne Dedmon,Danilo Gallinari,Damian Lillard,Gary Harris,NO,NO,IND,NY,SA,DEN,POR,DEN,PF/C,PG,PG,PG/SG,C,SF,PG,SG,11500,6700,6400,3000,3100,5300,8800,4000,252.66,354.75,27,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,JaVale McGee,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,IND,NY,GS,DEN,MIL,DEN,PF/C,PG,PG,PG/SG,C,SF,PG,SG,11500,6700,6400,3000,3400,5300,9500,4000,250.68,354.75,28,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Mason Plumlee,Devin Booker,Danilo Gallinari,Damian Lillard,Gary Harris,NO,IND,NY,POR,PHO,DEN,POR,DEN,PF/C,PG,PG/SG,C,SG/SF,SF,PG,SG,11500,6400,3000,5600,5200,5300,8800,4000,260.94,354.5,29,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,John Henson,Danilo Gallinari,Damian Lillard,Gary Harris,NO,NO,IND,NY,MIL,DEN,POR,DEN,PF/C,PG,PG,PG/SG,C,SF,PG,SG,11500,6700,6400,3000,4200,5300,8800,4000,263.94,354.5,30,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,Myles Turner,Jabari Parker,Danilo Gallinari,Gary Harris,NO,NO,IND,NY,IND,MIL,DEN,DEN,PF/C,PG,PG,PG/SG,C,SF/PF,SF,SG,11500,6700,6400,3000,6000,6300,5300,4000,253.42,354.5,31,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Dewayne Dedmon,Jabari Parker,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,IND,NY,SA,MIL,DEN,MIL,DEN,PF/C,PG,PG/SG,C,SF/PF,SF,PG,SG,11500,6400,3000,3100,6300,5300,9500,4000,243.57,354.5,32,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,Al Jefferson,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,IND,NY,IND,DEN,MIL,DEN,PF/C,PG,PG,PG/SG,C,SF,PG,SG,11500,6700,6400,3000,3100,5300,9500,4000,247.23,354.5,33,Dec152016
Anthony Davis,Jrue Holiday,Buddy Hield,Jeff Teague,Guillermo Hernangomez,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,NO,IND,NY,DEN,MIL,DEN,PF/C,PG,SG,PG,C,SF,PG,SG,11500,6700,3200,6400,3000,5300,9500,4000,244.06,354.25,34,Dec152016
Anthony Davis,Buddy Hield,Jeff Teague,Justin Holiday,Mason Plumlee,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,IND,NY,POR,DEN,MIL,DEN,PF/C,SG,PG,PG/SG,C,SF,PG,SG,11500,3200,6400,3000,5600,5300,9500,4000,242.88,354.25,35,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Mason Plumlee,Danilo Gallinari,Damian Lillard,Terrence Jones,Gary Harris,NO,IND,NY,POR,DEN,POR,NO,DEN,PF/C,PG,PG/SG,C,SF,PG,PF,SG,11500,6400,3000,5600,5300,8800,4300,4000,251.58,354.25,36,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Guillermo Hernangomez,Danilo Gallinari,Damian Lillard,Terrence Jones,Gary Harris,NO,NO,IND,NY,DEN,POR,NO,DEN,PF/C,PG,PG,C,SF,PG,PF,SG,11500,6700,6400,3000,5300,8800,4300,4000,252.76,354.25,37,Dec152016
Anthony Davis,Buddy Hield,Jeff Teague,Justin Holiday,Myles Turner,Danilo Gallinari,Damian Lillard,Gary Harris,NO,NO,IND,NY,IND,DEN,POR,DEN,PF/C,SG,PG,PG/SG,C,SF,PG,SG,11500,3200,6400,3000,6000,5300,8800,4000,247.93,354.25,38,Dec152016
Anthony Davis,Jrue Holiday,Buddy Hield,Jeff Teague,Kenneth Faried,Danilo Gallinari,Damian Lillard,Gary Harris,NO,NO,NO,IND,DEN,DEN,POR,DEN,PF/C,PG,SG,PG,C,SF,PG,SG,11500,6700,3200,6400,4000,5300,8800,4000,255.24,354.25,39,Dec152016
