Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Evan Turner,Tony Allen,Greg Monroe,Frank Kaminsky,Jabari Parker,John Wall,DeMarcus Cousins,Dwyane Wade,POR,MEM,MIL,CHA,MIL,WAS,SAC,CHI,SG/SF,SG,C,PF,SF/PF,PG,PF/C,SG,4800,4600,4400,4000,6400,9000,10300,6500,273.44,229.25,36,Dec102016
Evan Turner,Pau Gasol,Trevor Ariza,Harrison Barnes,Stephen Curry,Kevin Love,Dwyane Wade,Eric Gordon,POR,SA,HOU,DAL,GS,CLE,CHI,HOU,SG/SF,C,SF/PF,SF/PF,PG,PF/C,SG,SG,4800,5400,5400,6200,8400,7800,6500,5400,273.13,234.5,37,Dec102016
C.J. Miles,JaMychal Green,Rodney Stuckey,Stephen Curry,DeMarcus Cousins,Kevin Love,Patrick Beverley,Evan Fournier,IND,MEM,IND,GS,SAC,CLE,HOU,ORL,SG/SF,PF,PG/SG,PG,PF/C,PF/C,PG,SG,4000,5900,3500,8400,10300,7800,4800,5300,272.49,231.0,38,Dec102016
C.J. Miles,Rodney McGruder,Greg Monroe,JaMychal Green,Harrison Barnes,Giannis Antetokounmpo,DeMarcus Cousins,Eric Gordon,IND,MIA,MIL,MEM,DAL,MIL,SAC,HOU,SG/SF,SG,C,PF,SF/PF,PG,PF/C,SG,4000,3900,4400,5900,6200,9900,10300,5400,272.02,215.0,39,Dec102016
Tony Allen,Rodney McGruder,Harrison Barnes,Matthew Dellavedova,Stephen Curry,DeMarcus Cousins,Kevin Love,Patty Mills,MEM,MIA,DAL,MIL,GS,SAC,CLE,SA,SG,SG,SF/PF,PG/SG,PG,PF/C,PF/C,PG,4600,3900,6200,4000,8400,10300,7800,4800,271.81,212.25,40,Dec102016
Rodney McGruder,Greg Monroe,Ryan Anderson,Jabari Parker,John Wall,Stephen Curry,Kevin Love,Evan Fournier,MIA,MIL,HOU,MIL,WAS,GS,CLE,ORL,SG,C,PF,SF/PF,PG,PG,PF/C,SG,3900,4400,4800,6400,9000,8400,7800,5300,271.62,211.75,41,Dec102016
Pau Gasol,JaMychal Green,Jabari Parker,John Wall,Kevin Love,Jameer Nelson,Patrick Beverley,Eric Gordon,SA,MEM,MIL,WAS,CLE,DEN,HOU,HOU,C,PF,SF/PF,PG,PF/C,PG,PG,SG,5400,5900,6400,9000,7800,5300,4800,5400,270.66,234.0,42,Dec102016
Jamal Crawford,Pau Gasol,Ryan Anderson,Trevor Ariza,Rodney Stuckey,Giannis Antetokounmpo,John Wall,Kevin Love,LAC,SA,HOU,HOU,IND,MIL,WAS,CLE,SG,C,PF,SF/PF,PG/SG,PG,PG,PF/C,4200,5400,4800,5400,3500,9900,9000,7800,269.96,250.5,43,Dec102016
Tony Allen,J.J. Redick,Pau Gasol,Harrison Barnes,Jabari Parker,Giannis Antetokounmpo,Kevin Love,Evan Fournier,MEM,LAC,SA,DAL,MIL,MIL,CLE,ORL,SG,SG,C,SF/PF,SF/PF,PG,PF/C,SG,4600,4400,5400,6200,6400,9900,7800,5300,269.82,246.0,44,Dec102016
Tony Allen,J.J. Redick,John Henson,JaMychal Green,Trevor Ariza,John Wall,Stephen Curry,Kevin Love,MEM,LAC,MIL,MEM,HOU,WAS,GS,CLE,SG,SG,C,PF,SF/PF,PG,PG,PF/C,4600,4400,4400,5900,5400,9000,8400,7800,269.62,249.0,45,Dec102016
Jamal Crawford,Greg Monroe,JaMychal Green,Frank Kaminsky,Harrison Barnes,Marc Gasol,John Wall,Stephen Curry,LAC,MIL,MEM,CHA,DAL,MEM,WAS,GS,SG,C,PF,PF,SF/PF,C,PG,PG,4200,4400,5900,4000,6200,7900,9000,8400,269.11,256.75,46,Dec102016
C.J. Miles,Pau Gasol,Jabari Parker,Marcin Gortat,Darren Collison,Giannis Antetokounmpo,Stephen Curry,Eric Gordon,IND,SA,MIL,WAS,SAC,MIL,GS,HOU,SG/SF,C,SF/PF,C,PG/SG,PG,PG,SG,4000,5400,6400,5800,4700,9900,8400,5400,267.55,215.25,47,Dec102016
Tony Allen,Jabari Parker,Omri Casspi,Marc Gasol,John Wall,Stephen Curry,Mason Plumlee,Eric Gordon,MEM,MIL,SAC,MEM,WAS,GS,POR,HOU,SG,SF/PF,SF,C,PG,PG,C,SG,4600,6400,3000,7900,9000,8400,5300,5400,266.75,238.75,48,Dec102016
John Henson,Gordon Hayward,Jabari Parker,Marc Gasol,Rodney Stuckey,John Wall,Patrick Beverley,Evan Fournier,MIL,UTA,MIL,MEM,IND,WAS,HOU,ORL,C,SF,SF/PF,C,PG/SG,PG,PG,SG,4400,8700,6400,7900,3500,9000,4800,5300,266.37,254.25,49,Dec102016
Jamal Crawford,Rodney McGruder,Ryan Anderson,Gordon Hayward,Marc Gasol,Giannis Antetokounmpo,Mason Plumlee,Evan Fournier,LAC,MIA,HOU,UTA,MEM,MIL,POR,ORL,SG,SG,PF,SF,C,PG,C,SG,4200,3900,4800,8700,7900,9900,5300,5300,264.87,245.75,50,Dec102016
