Name,Team,Position,Dropped,Added,Total,Date
Trevor Booker,BKN , PF,841,10190,11032,2016-10-31
Mike Muscala,ATL ," PF,C",696,8832,9528,2016-10-31
J.J. Barea,DAL ," PG,SG",405,8427,8832,2016-10-31
T.J. Warren,PHO , SF,241,8402,8647,2016-10-31
Tyson Chandler,PHO , C,500,7000,7504,2016-10-31
Patty Mills,SA , PG,432,7055,7491,2016-10-31
Matt Barnes,SAC ," SG,SF",276,5910,6187,2016-10-31
Rondae Hollis-Jefferson,BKN ," SG,SF",3665,333,4000,2016-10-31
James Ennis III,MEM ," SG,SF",560,3338,3898,2016-10-31
Jonathon Simmons,SA ," SG,SF",3459,375,3846,2016-10-31
Thabo Sefolosha,ATL ," SG,SF",418,3403,3824,2016-10-31
Roy Hibbert,CHA , C,3422,224,3654,2016-10-31
Sergio Rodriguez,PHI , PG,373,3274,3653,2016-10-31
Bojan Bogdanovic,BKN ," SG,SF",281,3362,3650,2016-10-31
Michael Kidd-Gilchrist,CHA , SF,3254,323,3586,2016-10-31
Mirza Teletovic,MIL ," SF,PF",3476,82,3559,2016-10-31
Seth Curry,DAL ," PG,SG",3365,57,3425,2016-10-31
Kris Dunn,MIN , PG,1089,2263,3359,2016-10-31
Joe Johnson,UTA ," SG,SF",2050,1289,3354,2016-10-31
Ty Lawson,SAC , PG,811,2479,3296,2016-10-31
Justin Hamilton,BKN ," PF,C",2011,1196,3208,2016-10-31
Andre Roberson,OKC ," SG,SF",865,2185,3050,2016-10-31
Matthew Dellavedova,MIL ," PG,SG",384,2636,3025,2016-10-31
Sean Kilpatrick,BKN ," PG,SG",544,2450,2996,2016-10-31
Tony Parker,SA , PG,2709,225,2942,2016-10-31
Terrence Jones,NO ," SF,PF",2693,88,2783,2016-10-31
Will Barton,DEN ," SG,SF",877,1887,2775,2016-10-31
Doug McDermott,CHI , SF,331,2385,2716,2016-10-31
Dewayne Dedmon,SA , C,721,1978,2699,2016-10-31
Allen Crabbe,POR ," PG,SG",409,2232,2646,2016-10-31
Taj Gibson,CHI ," PF,C",202,2304,2514,2016-10-31
Ricky Rubio,MIN , PG,2360,97,2484,2016-10-31
Luol Deng,LAL ," SF,PF",2152,281,2444,2016-10-31
Brandon Ingram,LAL ," SG,SF",1901,420,2335,2016-10-31
Jahlil Okafor,PHI , C,2058,205,2282,2016-10-31
Al Jefferson,IND ," PF,C",2050,163,2224,2016-10-31
Tim Hardaway Jr.,ATL ," SG,SF",1775,411,2186,2016-10-31
Dario Saric,PHI ," SF,PF",1956,186,2153,2016-10-31
Buddy Hield,NO , SG,1936,189,2135,2016-10-31
Emmanuel Mudiay,DEN , PG,368,1738,2122,2016-10-31
Nick Young,LAL ," SG,SF",130,1929,2060,2016-10-31
Lou Williams,LAL ," PG,SG",1469,512,1989,2016-10-31
Willie Cauley-Stein,SAC ," PF,C",1718,210,1931,2016-10-31
Cody Zeller,CHA ," PF,C",628,1279,1908,2016-10-31
Alex Len,PHO ," PF,C",1476,408,1891,2016-10-31
Bismack Biyombo,ORL ," PF,C",1671,191,1872,2016-10-31
Marcus Morris,DET ," SF,PF",726,1131,1866,2016-10-31
Jamal Crawford,LAC ," SG,SF",983,855,1840,2016-10-31
Timofey Mozgov,LAL , C,1066,735,1809,2016-10-31
