Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Trevor Booker,28-077,PF,2/10/2016,UTA,@,NOP,L,0,20,1,4,0.25,1,4,0.25,0,0,,0,0,,3,4,7,3,0,0,1,3,2,2.8,14.75,13.9,1.5,193.5
Chris Johnson,25-287,SF,2/10/2016,UTA,@,NOP,L,0,22,1,2,0.5,0,0,,1,2,0.5,0,0,,0,4,4,2,0,1,0,3,3,4.1,13.5,12.8,1.5,193.5
Dante Cunningham,28-294,SF,2/10/2016,NOP,,UTA,W,1,29,3,6,0.5,1,1,1,2,5,0.4,0,0,,0,2,2,0,0,1,0,2,8,5.5,13.5,12.4,-1.5,193.5
Ryan Anderson,27-280,PF,2/10/2016,NOP,,UTA,W,0,24,3,10,0.3,3,6,0.5,0,4,0,1,1,1,0,3,3,1,0,0,0,2,7,2,12.25,12.1,-1.5,193.5
Erick Green,24-277,PG,2/10/2016,UTA,@,NOP,L,0,4,1,2,0.5,0,1,0,1,1,1,2,2,1,1,0,1,0,1,0,0,0,5,5.7,8.75,8.2,1.5,193.5
Alonzo Gee,28-257,SF,2/10/2016,NOP,,UTA,W,0,20,2,2,1,1,1,1,1,1,1,0,0,,0,1,1,0,1,0,1,2,5,3.9,8.25,7.2,-1.5,193.5
Joe Ingles,28-131,SG,2/10/2016,UTA,@,NOP,L,0,11,0,1,0,0,0,,0,1,0,0,0,,0,0,0,1,0,0,1,2,0,-1.8,1,0.5,1.5,193.5
Trey Lyles,20-097,PF,2/10/2016,UTA,@,NOP,L,0,3,0,3,0,0,2,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,-2.5,0,0,1.5,193.5
Rodney Hood,23-112,SG,2/9/2016,UTA,@,DAL,W,1,43,12,26,0.462,10,18,0.556,2,8,0.25,3,4,0.75,0,5,5,5,0,0,0,1,29,19.8,43.75,42.5,1.5,187
Derrick Favors,24-209,PF,2/9/2016,UTA,@,DAL,W,1,35,7,14,0.5,7,14,0.5,0,0,,2,4,0.5,3,5,8,6,1,0,2,3,16,13.8,36,34.6,1.5,187
Raymond Felton,31-228,SG,2/9/2016,DAL,,UTA,L,0,28,5,9,0.556,4,7,0.571,1,2,0.5,6,6,1,1,6,7,5,1,0,0,2,17,18.9,35.75,34.9,-1.5,187
Deron Williams,31-228,PG,2/9/2016,DAL,,UTA,L,1,42,5,12,0.417,3,9,0.333,2,3,0.667,11,13,0.846,0,2,2,5,1,0,3,3,23,16.7,34.5,31.9,-1.5,187
Gordon Hayward,25-323,SF,2/9/2016,UTA,@,DAL,W,1,45,8,20,0.4,8,14,0.571,0,6,0,4,5,0.8,0,5,5,4,1,0,1,4,20,11.5,33.75,33,1.5,187
Rudy Gobert,23-228,C,2/9/2016,UTA,@,DAL,W,1,37,5,6,0.833,5,6,0.833,0,0,,4,6,0.667,3,7,10,3,0,1,2,3,14,14.8,33.5,30.5,1.5,187
Dirk Nowitzki,37-235,PF,2/9/2016,DAL,,UTA,L,1,40,6,14,0.429,5,8,0.625,1,6,0.167,4,4,1,0,9,9,0,1,0,1,4,17,10.7,30.25,28.8,-1.5,187
Chandler Parsons,27-107,SF,2/9/2016,DAL,,UTA,L,1,36,8,16,0.5,5,8,0.625,3,8,0.375,5,7,0.714,0,1,1,0,1,1,3,5,24,12.2,29.25,26.2,-1.5,187
Zaza Pachulia,31-364,C,2/9/2016,DAL,,UTA,L,1,41,1,4,0.25,1,4,0.25,0,0,,5,6,0.833,4,7,11,5,0,0,2,1,7,10.2,27.25,25.7,-1.5,187
Wesley Matthews,29-118,SG,2/9/2016,DAL,,UTA,L,1,42,5,9,0.556,3,4,0.75,2,5,0.4,4,4,1,1,1,2,3,0,0,1,4,16,12.2,23.5,21.9,-1.5,187
Chris Johnson,25-286,SF,2/9/2016,UTA,@,DAL,W,0,21,1,2,0.5,0,0,,1,2,0.5,2,2,1,3,4,7,1,0,1,0,1,5,8.3,17.75,16.9,1.5,187
Trey Lyles,20-096,PF,2/9/2016,UTA,@,DAL,W,0,14,4,7,0.571,4,5,0.8,0,2,0,3,4,0.75,1,2,3,2,0,0,1,1,11,8.6,17.25,16.6,1.5,187
J.J. Barea,31-228,PG,2/9/2016,DAL,,UTA,L,0,15,2,5,0.4,1,3,0.333,1,2,0.5,0,0,,0,1,1,6,0,0,0,1,5,6.4,15.75,15.2,-1.5,187
Raul Neto,23-266,PG,2/9/2016,UTA,@,DAL,W,1,19,3,4,0.75,2,2,1,1,2,0.5,1,2,0.5,0,0,0,2,1,0,1,6,8,5,13,12,1.5,187
Trevor Booker,28-076,PF,2/9/2016,UTA,@,DAL,W,0,19,4,4,1,4,4,1,0,0,,0,0,,3,1,4,0,0,0,1,3,8,7,12.5,11.8,1.5,187
Dwight Powell,24-204,PF,2/9/2016,DAL,,UTA,L,0,12,3,3,1,3,3,1,0,0,,1,1,1,0,2,2,0,0,0,1,0,7,5.7,9,8.4,-1.5,187
Joe Ingles,28-130,SG,2/9/2016,UTA,@,DAL,W,0,18,2,4,0.5,0,0,,2,4,0.5,0,0,,0,1,1,0,0,0,2,1,6,1.9,7.25,5.2,1.5,187
Justin Anderson,22-082,SF,2/9/2016,DAL,,UTA,L,0,10,1,3,0.333,0,0,,1,3,0.333,0,0,,0,1,1,0,1,0,0,1,3,2.2,6.75,6.2,-1.5,187
Erick Green,24-276,PG,2/9/2016,UTA,@,DAL,W,0,12,2,5,0.4,2,3,0.667,0,2,0,0,0,,0,1,1,0,0,0,0,2,4,0.8,5.25,5.2,1.5,187
Draymond Green,26-017,PF,3/21/2016,GSW,@,MIN,W,1,37,10,13,0.769,10,12,0.833,0,1,0,4,8,0.5,4,5,9,6,3,3,4,4,24,25.3,54.25,51.8,-12.5,233
Stephen Curry,28-007,PG,3/21/2016,GSW,@,MIN,W,1,35,6,17,0.353,4,8,0.5,2,9,0.222,5,6,0.833,3,4,7,11,3,1,5,4,19,17.2,52.25,46.9,-12.5,233
Ricky Rubio,25-152,PG,3/21/2016,MIN,,GSW,L,1,33,5,9,0.556,2,2,1,3,7,0.429,7,7,1,0,4,4,11,4,1,6,4,20,21.7,51.5,45.3,12.5,233
Karl-Anthony Towns,20-127,C,3/21/2016,MIN,,GSW,L,1,38,11,19,0.579,10,18,0.556,1,1,1,1,2,0.5,3,8,11,2,0,1,2,5,24,17.3,43.75,40.2,12.5,233
Andrew Wiggins,21-027,SG,3/21/2016,MIN,,GSW,L,1,41,8,21,0.381,7,18,0.389,1,3,0.333,8,11,0.727,0,5,5,4,1,1,1,2,25,16.5,41.25,40,12.5,233
Klay Thompson,26-042,SG,3/21/2016,GSW,@,MIN,W,1,30,5,14,0.357,0,9,0,5,5,1,2,2,1,0,5,5,2,1,0,2,2,17,10.3,29.75,26,-12.5,233
Zach LaVine,21-011,PG,3/21/2016,MIN,,GSW,L,1,40,7,13,0.538,5,8,0.625,2,5,0.4,3,4,0.75,0,2,2,4,1,0,2,1,19,14.3,29.5,27.4,12.5,233
