Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames
Bradley Beal,Eric Gordon,Nicolas Batum,Glenn Robinson III,Deron Williams,Patrick Beverley,Blake Griffin,Hassan Whiteside,WAS,HOU,CHA,IND,DAL,HOU,LAC,MIA,SG,SG,SG,SF,PG,PG,PF,C,281.488,283.25,11,Dec122016,7
Luol Deng,Bradley Beal,Eric Gordon,Sean Kilpatrick,John Wall,Kyle Lowry,Marcin Gortat,Nikola Jokic,LAL,WAS,HOU,BKN,WAS,TOR,WAS,DEN,SF,SG,SG,SG,PG,PG,C,C,282.118,281.25,8,Dec122016,7
John Henson,Wesley Matthews,Nicolas Batum,John Wall,Patrick Beverley,Emmanuel Mudiay,Blake Griffin,Brook Lopez,MIL,DAL,CHA,WAS,HOU,DEN,LAC,BKN,C,SG,SG,PG,PG,PG,PF,C,282.078,280.0,9,Dec122016,7
Eric Gordon,Nicolas Batum,Bojan Bogdanovic,Giannis Antetokounmpo,John Wall,Patrick Beverley,Marvin Williams,Nikola Jokic,HOU,CHA,BKN,MIL,WAS,HOU,CHA,DEN,SG,SG,SG,PG,PG,PG,PF,C,284.758,279.75,2,Dec122016,7
Nicolas Batum,Kyle Lowry,Emmanuel Mudiay,Blake Griffin,Marvin Williams,Patrick Patterson,Hassan Whiteside,Nikola Jokic,CHA,TOR,DEN,LAC,CHA,TOR,MIA,DEN,SG,PG,PG,PF,PF,PF,C,C,278.978,277.5,34,Dec122016,7
Wesley Matthews,Bojan Bogdanovic,Giannis Antetokounmpo,Kyle Lowry,Deron Williams,Ryan Anderson,Marcin Gortat,Nikola Jokic,DAL,BKN,MIL,TOR,DAL,HOU,WAS,DEN,SG,SG,PG,PG,PG,PF,C,C,281.648,276.75,10,Dec122016,7
Paul George,Wesley Matthews,Eric Gordon,Kyle Lowry,Patrick Beverley,Blake Griffin,Malcolm Brogdon,Nikola Jokic,IND,DAL,HOU,TOR,HOU,LAC,MIL,DEN,SF,SG,SG,PG,PG,PF,PG,C,278.688,275.5,38,Dec122016,7
Paul George,DeMar DeRozan,Bojan Bogdanovic,Deron Williams,Patrick Beverley,Darren Collison,Hassan Whiteside,Nikola Jokic,IND,TOR,BKN,DAL,HOU,SAC,MIA,DEN,SF,SG,SG,PG,PG,PG,C,C,278.838,274.0,36,Dec122016,7
Rudy Gay,Jamal Crawford,Glenn Robinson III,John Wall,Damian Lillard,Deron Williams,Marcin Gortat,Nikola Jokic,SAC,LAC,IND,WAS,POR,DAL,WAS,DEN,SF,SG,SF,PG,PG,PG,C,C,278.018,272.75,50,Dec122016,7
Bojan Bogdanovic,Glenn Robinson III,John Wall,Kyle Lowry,Matthew Dellavedova,Blake Griffin,Brook Lopez,Nikola Jokic,BKN,IND,WAS,TOR,MIL,LAC,BKN,DEN,SG,SF,PG,PG,PG,PF,C,C,283.588,272.5,4,Dec122016,7
Paul George,Wesley Matthews,Rodney McGruder,Nicolas Batum,John Wall,Darren Collison,Marcin Gortat,Nikola Jokic,IND,DAL,MIA,CHA,WAS,SAC,WAS,DEN,SF,SG,SG,SG,PG,PG,C,C,280.388,271.0,22,Dec122016,7
Eric Gordon,Nicolas Batum,Glenn Robinson III,John Wall,Emmanuel Mudiay,Matthew Dellavedova,DeMarcus Cousins,Marcin Gortat,HOU,CHA,IND,WAS,DEN,MIL,SAC,WAS,SG,SG,SF,PG,PG,PG,PF,C,282.578,270.5,7,Dec122016,7
Sean Kilpatrick,Rodney McGruder,Glenn Robinson III,Giannis Antetokounmpo,John Wall,Patrick Patterson,Hassan Whiteside,Nikola Jokic,BKN,MIA,IND,MIL,WAS,TOR,MIA,DEN,SG,SG,SF,PG,PG,PF,C,C,280.298,269.25,23,Dec122016,7
John Henson,Luol Deng,DeMar DeRozan,Wesley Matthews,Giannis Antetokounmpo,John Wall,Matthew Dellavedova,Marcin Gortat,MIL,LAL,TOR,DAL,MIL,WAS,MIL,WAS,C,SF,SG,SG,PG,PG,PG,C,280.528,268.25,18,Dec122016,7
Wesley Matthews,Glenn Robinson III,John Wall,Kyle Lowry,Patrick Beverley,Marvin Williams,Hassan Whiteside,Marcin Gortat,DAL,IND,WAS,TOR,HOU,CHA,MIA,WAS,SG,SF,PG,PG,PG,PF,C,C,286.448,266.5,1,Dec122016,7
Luol Deng,Rodney McGruder,Nicolas Batum,Glenn Robinson III,Giannis Antetokounmpo,Kyle Lowry,Blake Griffin,Marcin Gortat,LAL,MIA,CHA,IND,MIL,TOR,LAC,WAS,SF,SG,SG,SF,PG,PG,PF,C,279.468,260.5,29,Dec122016,7
John Henson,Markieff Morris,Eric Gordon,Glenn Robinson III,Giannis Antetokounmpo,John Wall,Deron Williams,Brook Lopez,MIL,WAS,HOU,IND,MIL,WAS,DAL,BKN,C,SF,SG,SF,PG,PG,PG,C,281.008,260.5,13,Dec122016,7
Bradley Beal,Bojan Bogdanovic,Giannis Antetokounmpo,Patrick Beverley,Emmanuel Mudiay,Blake Griffin,Marcin Gortat,Clint Capela,WAS,BKN,MIL,HOU,DEN,LAC,WAS,HOU,SG,SG,PG,PG,PG,PF,C,C,278.058,260.0,48,Dec122016,7
Paul George,Wesley Matthews,Eric Gordon,Bojan Bogdanovic,Glenn Robinson III,Giannis Antetokounmpo,Emmanuel Mudiay,Hassan Whiteside,IND,DAL,HOU,BKN,IND,MIL,DEN,MIA,SF,SG,SG,SG,SF,PG,PG,C,279.108,259.5,31,Dec122016,7
Jusuf Nurkic,Markieff Morris,Eric Gordon,Sean Kilpatrick,John Wall,Goran Dragic,Patrick Beverley,Hassan Whiteside,DEN,WAS,HOU,BKN,WAS,MIA,HOU,MIA,C,SF,SG,SG,PG,PG,PG,C,278.378,259.5,43,Dec122016,7
John Henson,Luol Deng,Nicolas Batum,Bojan Bogdanovic,John Wall,Kyle Lowry,Deron Williams,Hassan Whiteside,MIL,LAL,CHA,BKN,WAS,TOR,DAL,MIA,C,SF,SG,SG,PG,PG,PG,C,284.268,256.5,3,Dec122016,7
Paul George,Bradley Beal,Wesley Matthews,Glenn Robinson III,Kyle Lowry,Deron Williams,Brook Lopez,Clint Capela,IND,WAS,DAL,IND,TOR,DAL,BKN,HOU,SF,SG,SG,SF,PG,PG,C,C,278.378,255.75,44,Dec122016,7
John Henson,Bradley Beal,Sean Kilpatrick,Nicolas Batum,Glenn Robinson III,Kyle Lowry,Marvin Williams,DeMarcus Cousins,MIL,WAS,BKN,CHA,IND,TOR,CHA,SAC,C,SG,SG,SG,SF,PG,PF,PF,278.538,255.5,41,Dec122016,7
Eric Gordon,Bojan Bogdanovic,John Wall,Darren Collison,Blake Griffin,Malcolm Brogdon,Hassan Whiteside,Marcin Gortat,HOU,BKN,WAS,SAC,LAC,MIL,MIA,WAS,SG,SG,PG,PG,PF,PG,C,C,280.398,255.0,21,Dec122016,7
DeMar DeRozan,Sean Kilpatrick,Bojan Bogdanovic,John Wall,Emmanuel Mudiay,Marvin Williams,Hassan Whiteside,Brook Lopez,TOR,BKN,BKN,WAS,DEN,CHA,MIA,BKN,SG,SG,SG,PG,PG,PF,C,C,280.508,254.5,19,Dec122016,7
Sean Kilpatrick,Rodney McGruder,Bojan Bogdanovic,John Wall,Deron Williams,Patrick Beverley,DeMarcus Cousins,Marcin Gortat,BKN,MIA,BKN,WAS,DAL,HOU,SAC,WAS,SG,SG,SG,PG,PG,PG,PF,C,282.918,254.5,5,Dec122016,7
Lou Williams,Wesley Matthews,Bojan Bogdanovic,John Wall,Deron Williams,Blake Griffin,Marvin Williams,Clint Capela,LAL,DAL,BKN,WAS,DAL,LAC,CHA,HOU,SG,SG,SG,PG,PG,PF,PF,C,280.468,252.0,20,Dec122016,7
Lou Williams,Nicolas Batum,Jeremy Lamb,Glenn Robinson III,John Wall,Ryan Anderson,Hassan Whiteside,Brook Lopez,LAL,CHA,CHA,IND,WAS,HOU,MIA,BKN,SG,SG,SG,SF,PG,PF,C,C,279.358,251.25,30,Dec122016,7
Paul George,DeMar DeRozan,Eric Gordon,John Wall,Patrick Beverley,Ryan Anderson,Patrick Patterson,Marcin Gortat,IND,TOR,HOU,WAS,HOU,HOU,TOR,WAS,SF,SG,SG,PG,PG,PF,PF,C,278.038,250.75,49,Dec122016,7
John Henson,Markieff Morris,Lou Williams,Wesley Matthews,Jamal Crawford,John Wall,Kyle Lowry,Nikola Jokic,MIL,WAS,LAL,DAL,LAC,WAS,TOR,DEN,C,SF,SG,SG,SG,PG,PG,C,278.588,249.5,40,Dec122016,7
Paul George,Nicolas Batum,Rondae Hollis-Jefferson,John Wall,Patrick Beverley,Matthew Dellavedova,Hassan Whiteside,Clint Capela,IND,CHA,BKN,WAS,HOU,MIL,MIA,HOU,SF,SG,SF,PG,PG,PG,C,C,279.848,248.75,26,Dec122016,7
