Player,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Dennis Schroder,PG,11/15/2015,ATL,,UTA,L,1,33,3,10,0.3,2,8,0.25,1,2,0.5,4,6,0.667,1,5,6,9,0,0,0,4,11,11.3,32.5,31.7,-3,192
Alec Burks,SG,11/15/2015,UTA,@,ATL,W,0,28,7,13,0.538,6,10,0.6,1,3,0.333,3,5,0.6,0,6,6,2,2,0,1,2,18,14.3,32.5,31.2,3,192
Marc Gasol,C,11/15/2015,MEM,@,MIN,W,1,37,7,10,0.7,7,10,0.7,0,0,,2,2,1,1,6,7,4,0,2,4,4,16,12.9,32.75,30.4,-4.5,192.5
Kemba Walker,PG,11/15/2015,CHO,,POR,W,1,36,5,12,0.417,3,7,0.429,2,5,0.4,2,2,1,0,4,4,5,2,0,2,2,14,11.5,30.5,28.3,-4.5,205.5
Jeff Green,SF,11/15/2015,MEM,@,MIN,W,1,35,7,12,0.583,6,9,0.667,1,3,0.333,6,6,1,1,3,4,3,0,0,2,2,21,16.3,30,28.3,-4.5,192.5
Zach Randolph,PF,11/15/2015,MEM,@,MIN,W,1,28,6,8,0.75,6,8,0.75,0,0,,2,2,1,1,7,8,1,1,1,1,1,14,14.6,29,28.1,-4.5,192.5
Andre Miller,PG,11/15/2015,MIN,,MEM,L,0,34,4,8,0.5,4,7,0.571,0,1,0,0,0,,1,2,3,8,3,0,2,4,8,10.3,28.75,27.6,4.5,192.5
Cory Joseph,PG,11/15/2015,TOR,@,SAC,L,0,26,8,10,0.8,7,9,0.778,1,1,1,0,0,,0,4,4,4,0,0,1,3,17,15,28,26.8,-2,208.5
Jeremy Lamb,SG,11/15/2015,CHO,,POR,W,0,28,6,10,0.6,5,5,1,1,5,0.2,0,0,,0,5,5,3,0,2,1,2,13,11.6,27.75,26.5,-4.5,205.5
C.J. McCollum,PG,11/15/2015,POR,@,CHO,L,1,37,5,18,0.278,3,12,0.25,2,6,0.333,4,4,1,0,2,2,4,1,0,0,2,16,9,27.5,26.4,4.5,205.5
Kevin Garnett,PF,11/15/2015,MIN,,MEM,L,1,24,4,4,1,4,4,1,0,0,,0,0,,0,5,5,4,3,0,0,1,8,13.7,26.25,26,4.5,192.5
