Date,Player,Pos,Salary,Predicted,Scored,Team,Iteration
Dec102016,Luis Scola,PF/C,3000,5.21,31.25,BKN,22
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,22
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,22
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,22
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,22
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,22
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,22
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,23
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,23
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,23
Dec102016,Jimmy Butler,SG/SF,8200,45.55,52.25,CHI,23
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,23
Dec102016,Wesley Matthews,SG,5300,30.89,37.25,DAL,23
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,23
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,23
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,24
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,24
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,24
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,24
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,24
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,24
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,24
Dec102016,Kenneth Faried,PF/C,4600,14.84,33.5,DEN,24
Dec102016,Nikola Jokic,C,5200,32.32,36.0,DEN,26
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,26
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,26
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,26
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,26
Dec102016,Austin Rivers,PG,3200,15.5,30.0,LAC,26
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,26
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,26
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,25
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,25
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,25
Dec102016,Mirza Teletovic,PF,3000,7.07,33.25,MIL,25
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,25
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,25
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,25
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,25
Dec102016,Kawhi Leonard,SF,8300,39.79,48.0,SA,27
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,27
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,27
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,27
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,27
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,27
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,27
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,27
