Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Russell Westbrook,Ron Baker,Eric Bledsoe,Anthony Davis,Joffrey Lauvergne,Lance Thomas,Reggie Bullock,Derrick Jones Jr.,OKC,NY,PHO,NO,OKC,NY,DET,PHO,PG,SG,PG,PF,PF,SF,SF,SF,478.291610904,181.75,51,Dec112016,5,0.0
Russell Westbrook,Ron Baker,Eric Bledsoe,Anthony Davis,Joffrey Lauvergne,Reggie Bullock,Derrick Jones Jr.,Metta World Peace,OKC,NY,PHO,NO,OKC,DET,PHO,LAL,PG,SG,PG,PF,PF,SF,SF,SF,502.111109992,177.75,31,Dec112016,5,0.0
Russell Westbrook,Darrun Hilliard,Timothe Luwawu-Cabarrot,Brandon Rush,Eric Bledsoe,Anthony Davis,Nemanja Bjelica,Jerami Grant,OKC,DET,PHI,MIN,PHO,NO,MIN,OKC,PG,SG,SG,SG,PG,PF,SF,SF,454.807494519,177.0,22,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Jonas Jerebko,Jordan Mickey,Ron Baker,Hollis Thompson,Ian Clark,Karl-Anthony Towns,OKC,GS,BOS,BOS,NY,PHI,GS,MIN,PG,PG,PF,PF,SG,SG,PG,PF,498.618095668,175.5,82,Dec112016,5,0.0
Russell Westbrook,Darrun Hilliard,Timothe Luwawu-Cabarrot,Brandon Rush,Anthony Davis,Nemanja Bjelica,Jerami Grant,Andre Drummond,OKC,DET,PHI,MIN,NO,MIN,OKC,DET,PG,SG,SG,SG,PF,SF,SF,C,490.001760752,170.75,12,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Ron Baker,Anthony Davis,Joffrey Lauvergne,Reggie Bullock,Derrick Jones Jr.,Metta World Peace,OKC,GS,NY,NO,OKC,DET,PHO,LAL,PG,PG,SG,PF,PF,SF,SF,SF,409.80438157,170.0,89,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Ron Baker,Anthony Davis,Joffrey Lauvergne,Reggie Bullock,Derrick Jones Jr.,Metta World Peace,OKC,GS,NY,NO,OKC,DET,PHO,LAL,PG,PG,SG,PF,PF,SF,SF,SF,411.367631979,170.0,91,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Ron Baker,Anthony Davis,Joffrey Lauvergne,Reggie Bullock,Derrick Jones Jr.,Metta World Peace,OKC,GS,NY,NO,OKC,DET,PHO,LAL,PG,PG,SG,PF,PF,SF,SF,SF,492.450673191,170.0,43,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Darrun Hilliard,Timothe Luwawu-Cabarrot,Brandon Rush,Anthony Davis,Nemanja Bjelica,Jerami Grant,OKC,GS,DET,PHI,MIN,NO,MIN,OKC,PG,PG,SG,SG,SG,PF,SF,SF,454.273839548,169.25,78,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Darrun Hilliard,Timothe Luwawu-Cabarrot,Brandon Rush,Anthony Davis,Nemanja Bjelica,Jerami Grant,OKC,GS,DET,PHI,MIN,NO,MIN,OKC,PG,PG,SG,SG,SG,PF,SF,SF,493.913900892,169.25,65,Dec112016,5,0.0
Russell Westbrook,Darrun Hilliard,Timothe Luwawu-Cabarrot,Ian Clark,Anthony Davis,Nemanja Bjelica,Jerami Grant,Andre Drummond,OKC,DET,PHI,GS,NO,MIN,OKC,DET,PG,SG,SG,PG,PF,SF,SF,C,504.217816354,169.0,87,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Darrun Hilliard,Timothe Luwawu-Cabarrot,Ian Clark,Anthony Davis,Nemanja Bjelica,Jerami Grant,OKC,GS,DET,PHI,GS,NO,MIN,OKC,PG,PG,SG,SG,PG,PF,SF,SF,509.255646424,167.5,94,Dec112016,5,0.0
