Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date,Date
Draymond Green,Joe Ingles,Zach LaVine,Dwyane Wade,Tony Allen,Kyle Lowry,Marc Gasol,Rudy Gobert,GS,UTA,MIN,CHI,MEM,TOR,MEM,UTA,PF/C,SF,SG,SG,SG,PG,C,C,7300,3400,6100,6000,4300,8200,7700,6700,265.23,350.0,27,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Bradley Beal,Kyle Lowry,Rajon Rondo,Shelvin Mack,Marc Gasol,Rudy Gobert,GS,UTA,WAS,TOR,CHI,UTA,MEM,UTA,PF/C,SF,SG,PG,PG,PG,C,C,7300,3400,6700,8200,5700,4100,7700,6700,267.66,350.0,29,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Bradley Beal,Kyle Lowry,Ersan Ilyasova,Shelvin Mack,Marc Gasol,Rudy Gobert,GS,UTA,WAS,TOR,PHI,UTA,MEM,UTA,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,6700,8200,5700,4100,7700,6700,267.08,350.0,28,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Dwyane Wade,Tony Allen,Kyle Lowry,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,CHI,MEM,TOR,CHI,MEM,UTA,PF/C,SF,SG,SG,PG,PG,C,C,7300,3400,6000,4300,8200,5700,7700,6700,268.55,350.0,24,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Dwyane Wade,Tony Allen,Kyle Lowry,Ersan Ilyasova,Marc Gasol,Rudy Gobert,GS,UTA,CHI,MEM,TOR,PHI,MEM,UTA,PF/C,SF,SG,SG,PG,PF,C,C,7300,3400,6000,4300,8200,5700,7700,6700,267.97,350.0,26,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Rudy Gobert,Jonas Valanciunas,GS,UTA,TOR,TOR,PHI,CHI,UTA,TOR,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,8100,8200,5700,5700,6700,4900,262.06,350.0,25,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Pau Gasol,GS,UTA,MIN,TOR,PHI,CHI,MEM,SA,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,6100,8200,5700,5700,7700,5000,263.94,350.0,23,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Tony Allen,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,TOR,MEM,PHI,CHI,MEM,UTA,PF/C,SF,SG,SG,PF,PG,C,C,7300,3400,8100,4300,5700,5700,7700,6700,260.83,349.75,30,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Zach LaVine,Tony Allen,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,TOR,MIN,MEM,CHI,MEM,UTA,PF/C,SF,SG,SG,SG,PG,C,C,7300,3400,8100,6100,4300,5700,7700,6700,258.09,349.75,31,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Zach LaVine,Tony Allen,Ersan Ilyasova,Marc Gasol,Rudy Gobert,GS,UTA,TOR,MIN,MEM,PHI,MEM,UTA,PF/C,SF,SG,SG,SG,PF,C,C,7300,3400,8100,6100,4300,5700,7700,6700,257.51,349.75,32,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Shelvin Mack,Marc Gasol,GS,UTA,MIN,TOR,PHI,CHI,UTA,MEM,PF/C,SF,SG,PG,PF,PG,PG,C,7300,3400,6100,8200,5700,5700,4100,7700,257.54,349.5,33,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Dwyane Wade,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,MIN,CHI,PHI,CHI,MEM,UTA,PF/C,SF,SG,SG,PF,PG,C,C,7300,3400,6100,6000,5700,5700,7700,6700,264.73,349.5,34,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Ersan Ilyasova,Jameer Nelson,Marc Gasol,Rudy Gobert,GS,UTA,MIN,TOR,PHI,DEN,MEM,UTA,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,6100,8200,5700,4700,7700,6700,272.15,349.25,39,Dec82016,2016-12-08
