Name,Team,Position,Dropped,Added,Total,Date,Net
Timofey Mozgov,LAL , C,1705,600,2311,2016-11-01,-1105
Justin Hamilton,BKN ," PF,C",1984,299,2284,2016-11-01,-1685
Michael Kidd-Gilchrist,CHA , SF,1621,553,2194,2016-11-01,-1068
Mirza Teletovic,MIL ," SF,PF",1911,97,2012,2016-11-01,-1814
Tony Snell,MIL ," SG,SF",73,1919,1992,2016-11-01,1846
Tyler Johnson,MIA ," PG,SG",440,1521,1965,2016-11-01,1081
Sean Kilpatrick,BKN ," PG,SG",591,1319,1911,2016-11-01,728
Tim Hardaway Jr.,ATL ," SG,SF",1775,85,1861,2016-11-01,-1690
Kentavious Caldwell-Pope,DET , SG,201,1636,1843,2016-11-01,1435
Lance Stephenson,NO ," SG,SF",1353,409,1763,2016-11-01,-944
Jahlil Okafor,PHI , C,1249,447,1721,2016-11-01,-802
Jamal Crawford,LAC ," SG,SF",500,1187,1692,2016-11-01,687
Marcus Morris,DET ," SF,PF",230,1446,1689,2016-11-01,1216
Bismack Biyombo,ORL ," PF,C",1470,202,1686,2016-11-01,-1268
JaMychal Green,MEM , PF,1305,364,1679,2016-11-01,-941
Roy Hibbert,CHA , C,1344,321,1668,2016-11-01,-1023
Al Jefferson,IND ," PF,C",1458,168,1635,2016-11-01,-1290
Willie Cauley-Stein,SAC ," PF,C",1479,137,1618,2016-11-01,-1342
Buddy Hield,NO , SG,1391,208,1607,2016-11-01,-1183
Marcus Smart,BOS , PG,613,970,1587,2016-11-01,357
Tyler Johnson,MIA ," PG,SG",220,8566,8789,2016-11-02,8346
Sean Kilpatrick,BKN ," PG,SG",305,5473,5780,2016-11-02,5168
Jerami Grant,OKC ," SF,PF",531,4919,5450,2016-11-02,4388
Matthew Dellavedova,MIL ," PG,SG",208,4247,4465,2016-11-02,4039
Sergio Rodriguez,PHI , PG,328,3877,4210,2016-11-02,3549
C.J. Miles,IND ," SG,SF",109,4000,4110,2016-11-02,3891
Will Barton,DEN ," SG,SF",3436,547,3997,2016-11-02,-2889
Timofey Mozgov,LAL , C,3593,128,3728,2016-11-02,-3465
Kris Dunn,MIN , PG,261,3220,3486,2016-11-02,2959
Trevor Booker,BKN , PF,2096,1281,3388,2016-11-02,-815
Brandon Ingram,LAL ," SG,SF",3003,286,3301,2016-11-02,-2717
Ty Lawson,SAC , PG,2392,788,3193,2016-11-02,-1604
Andre Roberson,OKC ," SG,SF",674,2495,3170,2016-11-02,1821
J.J. Barea,DAL ," PG,SG",1070,2084,3157,2016-11-02,1014
Cody Zeller,CHA ," PF,C",638,2443,3086,2016-11-02,1805
Dario Saric,PHI ," SF,PF",330,2660,2996,2016-11-02,2330
Marcus Morris,DET ," SF,PF",170,2772,2953,2016-11-02,2602
Thabo Sefolosha,ATL ," SG,SF",853,2059,2914,2016-11-02,1206
Ricky Rubio,MIN , PG,2690,176,2887,2016-11-02,-2514
Tony Snell,MIL ," SG,SF",127,2718,2847,2016-11-02,2591
Amir Johnson,BOS ," PF,C",261,2560,2821,2016-11-02,2299
Rondae Hollis-Jefferson,BKN ," SG,SF",2413,318,2737,2016-11-02,-2095
Terrence Jones,NO ," SF,PF",2575,124,2705,2016-11-02,-2451
Matt Barnes,SAC ," SG,SF",1288,1342,2638,2016-11-02,54
Allen Crabbe,POR ," PG,SG",2143,482,2631,2016-11-02,-1661
Joe Johnson,UTA ," SG,SF",1759,847,2612,2016-11-02,-912
Jonathon Simmons,SA ," SG,SF",2418,170,2597,2016-11-02,-2248
Patty Mills,SA , PG,1375,1221,2596,2016-11-02,-154
Mike Muscala,ATL ," PF,C",1406,1068,2477,2016-11-02,-338
Dion Waiters,MIA ," SG,SF",222,2041,2268,2016-11-02,1819
Joakim Noah,NY ," PF,C",1406,812,2226,2016-11-02,-594
