Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161102;4768;PF/C;Lauvergne Joffrey;;12.5;$3000;okc;A;lac;85;83;17.15;3pt 4rb 3as 1-1fg 1-2ft
20161102;4674;PF/C;Powell Dwight;;12.25;$3200;dal;A;uta;81;97;15.92;11pt 1rb 5-8fg 1-2ft
20161102;3996;PF/C;Hawes Spencer;;12;$3100;cha;H;phi;109;93;14.82;8pt 2as 1bl 2to 3-3fg 2-2ft
20161102;3733;PF/C;Bass Brandon;;12;$3000;lac;H;okc;83;85;13.45;5pt 4rb 1st 1to 1trey 2-5fg
20161102;4924;C;Zubac Ivica;1;11.75;$3000;lal;A;atl;123;116;18.70;6pt 3rb 1st 3-3fg
20161102;5004;C;Poeltl Jakob;;9.75;$3000;tor;A;was;113;103;17.38;0pt 5rb 1st 1bl 1to
20161102;4691;C;Black Tarik;;9.75;$3000;lal;A;atl;123;116;16.03;4pt 3rb 1bl 2-4fg
20161102;4529;PF/C;O'Quinn Kyle;;9.25;$3100;nyk;H;hou;99;118; 4.63;4pt 1rb 2bl 2-2fg
20161102;3503;PF/C;Scola Luis;;8.75;$3400;bkn;H;det;109;101;13.98;2pt 3rb 1as 1st 1to 1-2fg
20161102;4013;C;Noah Joakim;1;8.5;$4900;nyk;H;hou;99;118;18.10;0pt 2rb 4as 0-2fg 0-2ft
20161102;3523;C;Collison Nick;;7;$3000;okc;A;lac;85;83; 7.13;0pt 2rb 3as
20161102;4806;PF/C;Lyles Trey;;6.5;$3400;uta;H;dal;97;81;22.75;0pt 4rb 1as 0-3fg
20161102;4858;C;Mejri Salah;;3.25;$3000;dal;A;uta;81;97; 5.37;0pt 1rb 1bl
20161102;4845;C;Felicio Cristiano;;2.75;$3000;chi;A;bos;100;107;10.10;0pt 1rb 1st 1to 0-1fg
20161102;4565;C;Withey Jeff;;2.75;$3000;uta;H;dal;97;81; 9.28;0pt 1rb 1st 1to
20161102;4893;C;Marjanovic Boban;;0;$3000;det;A;bkn;101;109;DNP;
20161102;4973;C;Ochefu Daniel;;0;$3000;was;H;tor;103;113;DNP;
20161102;4759;C;Nogueira Lucas;;0;$3000;tor;A;was;113;103;DNP;
20161102;4897;C;Williams Alan;;0;$3000;pho;H;por;118;115;DNP;
20161102;3408;C;Hilario Nene;;0;$3700;hou;A;nyk;118;99;DNP;
20161102;3527;PF/C;Diaw Boris;;0;$3000;uta;H;dal;97;81;DNP;
20161102;4084;C;Ajinca Alexis;;0;$3000;nor;A;mem;83;89;DNP;
20161102;4762;C;Embiid Joel;;0;$5600;phi;A;cha;93;109;DNP;
20161102;4023;PF/C;Smith Jason;;0;$3000;was;H;tor;103;113;DNP;
20161102;4987;C;Stone Diamond;;0;$3000;lac;H;okc;83;85;DNP;
20161102;3777;C;Mahinmi Ian;;0;$3000;was;H;tor;103;113;NA;
20161102;4993;C;Plumlee Marshall;;0;$3000;nyk;H;hou;99;118;NA;
20161102;4475;C;Sullinger Jared;;0;$3000;tor;A;was;113;103;NA;
