Id,Name,Position,Team,Salary,Projected,Scored,Override
129065,Garrett Temple,PG/SG,SAC,3000,14.62,10.0,0
129066,Nicolas Batum,SG/SF,CHA,6100,29.79,41.5,0
129067,C.J. Miles,SG/SF,IND,5000,20.24,22.0,0
129068,Joe Johnson,SG/SF,UTA,4200,12.685,3.25,0
129069,Allen Crabbe,SG/SF,POR,3900,19.71,33.75,0
129070,Evan Turner,SG/SF,POR,3800,22.615,11.5,0
129071,Terrence Ross,SG/SF,TOR,3700,15.71,11.5,0
129072,Andre Roberson,SG/SF,OKC,3600,10.795,31.75,0
129073,Jonathon Simmons,SG/SF,SA,3500,8.79,13.0,0
129074,Mario Hezonja,SG/SF,ORL,3400,9.175,0.0,0
129075,Kyle Anderson,SG/SF,SA,3300,7.705,20.5,0
129076,Hollis Thompson,SG/SF,PHI,3200,19.8,10.0,0
129077,Gerald Green,SG/SF,BOS,3000,5.89,1.75,0
129078,Justin Holiday,SG/SF,NY,3000,6.71,22.75,0
129079,Mike Dunleavy,SG/SF,CLE,3000,12.42,1.5,0
129080,Kelly Oubre Jr.,SG/SF,WAS,3000,11.375,21.0,0
129081,Jeremy Lamb,SG/SF,CHA,3000,0.1,0.0,0
129082,Norman Powell,SG/SF,TOR,3000,9.11,7.25,0
